date,ticker,shares,price
2025-05-22,PSLV,526905984,11.109999656677246
2025-05-27,PSLV,530201984,11.1899995803833
2025-05-28,PSLV,526905984,11.100000381469728
2025-05-29,PSLV,526905984,11.229999542236328
2025-06-09,PSLV,526905984,12.300000190734863
2025-07-23,PSLV,526905984,13.3100004196167
2025-07-25,PSLV,526905984,12.9399995803833
2025-07-26,PSLV,526905984,
2025-07-29,PSLV,526905984,12.93000030517578
2025-08-01,PSLV,526905984,12.520000457763672
2025-08-05,PSLV,526905984,12.850000381469728
2025-08-06,PSLV,526905984,12.829999923706056
2025-08-07,PSLV,527728000,12.970000267028809
2025-08-08,PSLV,526905984,13.0
2025-08-27,PSLV,554899968,13.050000190734863
2025-08-29,PSLV,554899968,13.479999542236328
2025-09-03,PSLV,554899968,13.859999656677246
2025-09-05,PSLV,559745984,13.859999656677246
2025-09-20,PSLV,554899927,
2025-09-24,PSLV,554899927,14.68000030517578
2025-09-26,PSLV,554899927,15.539999961853027
2025-10-01,PSLV,554899927,15.9399995803833
2025-10-08,PSLV,564217276,16.450000762939453
2025-10-09,PSLV,554899927,16.43000030517578
2025-10-10,PSLV,554899927,16.6200008392334
2025-10-16,PSLV,554899927,18.06999969482422
2025-10-17,PSLV,554899927,17.270000457763672
2025-10-18,PSLV,554899927,
2025-10-22,PSLV,600070240,16.020000457763672
2025-10-23,PSLV,554899927,16.1200008392334
2025-10-24,PSLV,554899927,16.020000457763672
2025-10-25,PSLV,554899927,
2025-10-27,PSLV,580254362,15.31999969482422
2025-10-28,PSLV,554899927,15.420000076293944
2025-10-29,PSLV,554899927,15.670000076293944
2025-10-31,PSLV,554899927,16.110000610351562
2025-11-01,PSLV,554899927,
2025-11-05,PSLV,554899927,15.949999809265137
2025-11-06,PSLV,554899927,15.90999984741211
2025-11-11,PSLV,580894213,17.0
2025-11-13,PSLV,580894213,17.260000228881836
2025-11-14,PSLV,580894213,16.729999542236328
2025-11-15,PSLV,599296719,
2025-11-17,PSLV,580894213,16.540000915527344
2026-01-07,PSLV,605116964,26.020000457763672
2026-01-23,PSLV,637772285,33.220001220703125
2026-03-30,QQQ,645300000,558.280029296875
2026-03-31,QQQ,645300000,574.635009765625
2026-04-01,QQQ,645300000,
2026-04-02,QQQ,645300000,
2026-04-03,QQQ,645300000,
2026-04-06,QQQ,645300000,
2026-04-07,QQQ,642750000,
2026-04-08,QQQ,639250000,
2026-04-09,QQQ,644300000,
2026-04-10,QQQ,643100000,
2026-04-13,QQQ,646200000,
2026-04-14,QQQ,646200000,
2026-04-15,QQQ,648050000,
2026-04-16,QQQ,648650000,
2026-03-28,SHY,299000000,
2026-03-30,SHY,299000000,82.5
2026-03-31,SHY,299900000,82.56500244140625
2026-04-01,SHY,299800000,
2026-04-02,SHY,300600000,
2026-04-03,SHY,304200000,
2026-04-06,SHY,304200000,
2026-04-07,SHY,306900000,
2026-04-08,SHY,307200000,
2026-04-09,SHY,307400000,
2026-04-10,SHY,308800000,
2026-04-13,SHY,311400000,
2026-04-14,SHY,310500000,
2026-04-15,SHY,310500000,
2026-04-16,SHY,311000000,
2026-03-28,SLV,546900000,
2026-03-30,SLV,542600000,63.52000045776367
2026-03-31,SLV,542600000,67.93000030517578
2026-04-01,SLV,542100000,
2026-04-02,SLV,542000000,
2026-04-03,SLV,542000000,
2026-04-06,SLV,542000000,
2026-04-07,SLV,542000000,
2026-04-08,SLV,542000000,
2026-04-09,SLV,544400000,
2026-04-10,SLV,543600000,
2026-04-13,SLV,542950000,
2026-04-14,SLV,542250000,
2026-04-15,SLV,542900000,
2026-04-16,SLV,541650000,
2026-03-28,SOXX,62800000,
2026-03-30,SOXX,62800000,309.7900085449219
2026-03-31,SOXX,63000000,325.989990234375
2026-04-01,SOXX,62600000,
2026-04-02,SOXX,61500000,
2026-04-03,SOXX,62950000,
2026-04-06,SOXX,62950000,
2026-04-07,SOXX,62000000,
2026-04-08,SOXX,62500000,
2026-04-09,SOXX,62750000,
2026-04-10,SOXX,62600000,
2026-04-13,SOXX,64100000,
2026-04-14,SOXX,64300000,
2026-04-15,SOXX,65050000,
2026-04-16,SOXX,66650000,
2026-03-28,SPY,1001130000,
2026-03-30,SPY,1003630000,631.969970703125
2026-03-31,SPY,999580000,647.280029296875
2026-04-01,SPY,1001830000,
2026-04-02,SPY,997130000,
2026-04-03,SPY,997130000,
2026-04-06,SPY,996030000,
2026-04-07,SPY,994480000,
2026-04-08,SPY,1000330000,
2026-04-09,SPY,1003630000,
2026-04-10,SPY,1014330000,
2026-04-13,SPY,1014530000,
2026-04-14,SPY,1013980000,
2026-04-15,SPY,1011580000,
2026-04-16,SPY,1011580000,
2026-03-28,SRLN,121100000,
2026-03-30,SRLN,121100000,39.91999816894531
2026-03-31,SRLN,120650000,40.09999847412109
2026-04-01,SRLN,116900000,
2026-04-02,SRLN,116350000,
2026-04-03,SRLN,116350000,
2026-04-06,SRLN,116600000,
2026-04-07,SRLN,116600000,
2026-04-08,SRLN,116600000,
2026-04-09,SRLN,116600000,
2026-04-10,SRLN,117900000,
2026-04-13,SRLN,119300000,
2026-04-14,SRLN,119300000,
2026-04-15,SRLN,117500000,
2026-04-16,SRLN,117500000,
2026-03-28,TIP,127200000,
2026-03-30,TIP,127200000,110.3499984741211
2026-03-31,TIP,126500000,110.45999908447266
2026-04-01,TIP,126000000,
2026-04-02,TIP,126200000,
2026-04-03,TIP,126400000,
2026-04-06,TIP,126400000,
2026-04-07,TIP,126400000,
2026-04-08,TIP,126400000,
2026-04-09,TIP,126400000,
2026-04-10,TIP,127200000,
2026-04-13,TIP,127400000,
2026-04-14,TIP,128400000,
2026-04-15,TIP,128600000,
2026-04-16,TIP,129300000,
2026-03-28,TLT,487300000,
2026-03-30,TLT,487300000,86.77999877929688
2026-03-31,TLT,491100000,86.95999908447266
2026-04-01,TLT,491700000,
2026-04-02,TLT,483300000,
2026-04-03,TLT,487300000,
2026-04-06,TLT,487300000,
2026-04-07,TLT,484700000,
2026-04-08,TLT,485500000,
2026-04-09,TLT,487300000,
2026-04-10,TLT,486300000,
2026-04-13,TLT,486200000,
2026-04-14,TLT,486100000,
2026-04-15,TLT,487000000,
2026-04-16,TLT,487300000,
2026-03-30,VEA,3207210257,62.02999877929688
2026-03-31,VEA,3207210257,63.540000915527344
2026-04-01,VEA,3207210257,
2026-04-02,VEA,3207210257,
2026-04-03,VEA,3207210257,
2026-04-06,VEA,3207214594,
2026-04-07,VEA,3207370647,
2026-04-08,VEA,3207388040,
2026-04-09,VEA,3207424165,
2026-04-10,VEA,3207538158,
2026-04-13,VEA,3207551767,
2026-04-14,VEA,3207554200,
2026-04-15,VEA,3207568697,
2026-04-16,VEA,3207568697,
2026-03-30,VOO,1358013061,580.9299926757812
2026-03-31,VOO,1358013061,595.0
2026-04-01,VOO,1358013061,
2026-04-02,VOO,1358013061,
2026-04-03,VOO,1358013061,
2026-04-06,VOO,1360788061,
2026-04-07,VOO,1371552694,
2026-04-08,VOO,1378075507,
2026-04-09,VOO,1380559208,
2026-04-10,VOO,1381516331,
2026-04-13,VOO,1384166109,
2026-04-14,VOO,1384166109,
2026-04-15,VOO,1385368503,
2026-04-16,VOO,1385368503,
2026-03-30,VTI,1743790721,311.67999267578125
2026-03-31,VTI,1743790721,319.53009033203125
2026-04-01,VTI,1743790721,
2026-04-02,VTI,1743790721,
2026-04-03,VTI,1743790721,
2026-04-06,VTI,1743790721,
2026-04-07,VTI,1748769422,
2026-04-08,VTI,1749495619,
2026-04-09,VTI,1748734803,
2026-04-10,VTI,1751205744,
2026-04-13,VTI,1751350260,
2026-04-14,VTI,1751350260,
2026-04-15,VTI,1752235446,
2026-04-16,VTI,1752235446,
2026-03-30,VWO,2034081727,52.41999816894531
2026-03-31,VWO,2034081727,53.61989974975586
2026-04-01,VWO,2034081727,
2026-04-02,VWO,2034081727,
2026-04-03,VWO,2034083001,
2026-04-06,VWO,2034083001,
2026-04-07,VWO,2034239821,
2026-04-08,VWO,2034253898,
2026-04-09,VWO,2034344624,
2026-04-10,VWO,2034608451,
2026-04-13,VWO,2034631491,
2026-04-14,VWO,2034644016,
2026-04-15,VWO,2034692632,
2026-04-16,VWO,2034692632,
2026-03-28,XLB,130600000,
2026-03-30,XLB,127300000,49.09000015258789
2026-03-31,XLB,126450000,49.77000045776367
2026-04-01,XLB,130900000,
2026-04-02,XLB,131900000,
2026-04-03,XLB,131900000,
2026-04-06,XLB,132600000,
2026-04-07,XLB,132500000,
2026-04-08,XLB,133050000,
2026-04-09,XLB,134950000,
2026-04-10,XLB,138250000,
2026-04-13,XLB,140450000,
2026-04-14,XLB,140500000,
2026-04-15,XLB,140650000,
2026-04-16,XLB,140650000,
2026-03-28,XLC,215900000,
2026-03-30,XLC,217650000,107.95999908447266
2026-03-31,XLC,217650000,110.73500061035156
2026-04-01,XLC,217400000,
2026-04-02,XLC,216350000,
2026-04-03,XLC,216350000,
2026-04-06,XLC,216100000,
2026-04-07,XLC,216450000,
2026-04-08,XLC,216650000,
2026-04-09,XLC,216350000,
2026-04-10,XLC,216500000,
2026-04-13,XLC,216300000,
2026-04-14,XLC,216050000,
2026-04-15,XLC,217000000,
2026-04-16,XLC,217000000,
2026-03-28,XLE,692750000,
2026-03-30,XLE,700850000,61.959999084472656
2026-03-31,XLE,707150000,60.66999816894531
2026-04-01,XLE,711950000,
2026-04-02,XLE,714450000,
2026-04-03,XLE,714450000,
2026-04-06,XLE,708100000,
2026-04-07,XLE,692200000,
2026-04-08,XLE,696100000,
2026-04-09,XLE,700050000,
2026-04-10,XLE,687450000,
2026-04-13,XLE,686850000,
2026-04-14,XLE,678900000,
2026-04-15,XLE,682000000,
2026-04-16,XLE,682000000,
2026-03-28,XLF,986400000,
2026-03-30,XLF,981700000,48.36000061035156
2026-03-31,XLF,974800000,49.26499938964844
2026-04-01,XLF,967750000,
2026-04-02,XLF,976450000,
2026-04-03,XLF,976450000,
2026-04-06,XLF,983300000,
2026-04-07,XLF,984150000,
2026-04-08,XLF,980950000,
2026-04-09,XLF,983300000,
2026-04-10,XLF,985650000,
2026-04-13,XLF,988500000,
2026-04-14,XLF,981400000,
2026-04-15,XLF,989150000,
2026-04-16,XLF,989150000,
2026-03-28,XLI,172680000,
2026-03-30,XLI,173830000,156.61000061035156
2026-03-31,XLI,174730000,160.88999938964844
2026-04-01,XLI,175180000,
2026-04-02,XLI,173530000,
2026-04-03,XLI,173530000,
2026-04-06,XLI,173730000,
2026-04-07,XLI,172530000,
2026-04-08,XLI,173180000,
2026-04-09,XLI,173080000,
2026-04-10,XLI,176030000,
2026-04-13,XLI,177480000,
2026-04-14,XLI,176680000,
2026-04-15,XLI,177380000,
2026-04-16,XLI,177380000,
2026-03-28,XLK,632460000,
2026-03-30,XLK,632260000,127.5
2026-03-31,XLK,632410000,132.08999633789062
2026-04-01,XLK,633260000,
2026-04-02,XLK,633560000,
2026-04-03,XLK,633560000,
2026-04-06,XLK,634310000,
2026-04-07,XLK,635610000,
2026-04-08,XLK,636360000,
2026-04-09,XLK,637310000,
2026-04-10,XLK,638910000,
